month,concept,bls_series,unit_price,norm_unit,priced_by
2006-01,flour_ap,APU0300701111,0.304,lb,published
2006-02,flour_ap,APU0300701111,0.309,lb,published
2006-03,flour_ap,APU0300701111,0.311,lb,published
2006-04,flour_ap,APU0300701111,0.313,lb,published
2006-05,flour_ap,APU0300701111,0.329,lb,published
2006-06,flour_ap,APU0300701111,0.34,lb,published
2006-07,flour_ap,APU0300701111,0.336,lb,published
2006-08,flour_ap,APU0300701111,0.341,lb,published
2006-09,flour_ap,APU0300701111,0.354,lb,published
2006-10,flour_ap,APU0300701111,0.339,lb,published
2006-11,flour_ap,APU0300701111,0.325,lb,published
2006-12,flour_ap,APU0300701111,0.319,lb,published
2007-01,flour_ap,APU0300701111,0.328,lb,published
2007-02,flour_ap,APU0300701111,0.341,lb,published
2007-03,flour_ap,APU0300701111,0.351,lb,published
2007-04,flour_ap,APU0300701111,0.352,lb,published
2007-05,flour_ap,APU0300701111,0.363,lb,published
2007-06,flour_ap,APU0300701111,0.367,lb,published
2007-07,flour_ap,APU0300701111,0.369,lb,published
2007-08,flour_ap,APU0300701111,0.376,lb,published
2007-09,flour_ap,APU0300701111,0.376,lb,published
2007-10,flour_ap,APU0300701111,0.374,lb,published
2007-11,flour_ap,APU0300701111,0.399,lb,published
2007-12,flour_ap,APU0300701111,0.391,lb,published
2008-01,flour_ap,APU0300701111,0.416,lb,published
2008-02,flour_ap,APU0300701111,0.455,lb,published
2008-03,flour_ap,APU0300701111,0.507,lb,published
2008-04,flour_ap,APU0300701111,0.525,lb,published
2008-05,flour_ap,APU0300701111,0.548,lb,published
2008-06,flour_ap,APU0300701111,0.538,lb,published
2008-07,flour_ap,APU0300701111,0.537,lb,published
2008-08,flour_ap,APU0300701111,0.54,lb,published
2008-09,flour_ap,APU0300701111,0.526,lb,published
2008-10,flour_ap,APU0300701111,0.513,lb,published
2008-11,flour_ap,APU0300701111,0.486,lb,published
2008-12,flour_ap,APU0300701111,0.497,lb,published
2009-01,flour_ap,APU0300701111,0.519,lb,published
2009-02,flour_ap,APU0300701111,0.504,lb,published
2009-03,flour_ap,APU0300701111,0.499,lb,published
2009-04,flour_ap,APU0300701111,0.472,lb,published
2009-05,flour_ap,APU0300701111,0.462,lb,published
2009-06,flour_ap,APU0300701111,0.459,lb,published
2009-07,flour_ap,APU0300701111,0.464,lb,published
2009-08,flour_ap,APU0300701111,0.458,lb,published
2009-09,flour_ap,APU0300701111,0.455,lb,published
2009-10,flour_ap,APU0300701111,0.458,lb,published
2009-11,flour_ap,APU0300701111,0.42,lb,published
2009-12,flour_ap,APU0300701111,0.438,lb,published
2010-01,flour_ap,APU0300701111,0.445,lb,published
2010-02,flour_ap,APU0300701111,0.463,lb,published
2010-03,flour_ap,APU0300701111,0.451,lb,published
2010-04,flour_ap,APU0300701111,0.445,lb,published
2010-05,flour_ap,APU0300701111,0.431,lb,published
2010-06,flour_ap,APU0300701111,0.427,lb,published
2010-07,flour_ap,APU0300701111,0.427,lb,published
2010-08,flour_ap,APU0300701111,0.435,lb,published
2010-09,flour_ap,APU0300701111,0.428,lb,published
2010-10,flour_ap,APU0300701111,0.42,lb,published
2010-11,flour_ap,APU0300701111,0.42,lb,published
2010-12,flour_ap,APU0300701111,0.42,lb,published
2011-01,flour_ap,APU0300701111,0.44,lb,published
2011-02,flour_ap,APU0300701111,0.454,lb,published
2011-03,flour_ap,APU0300701111,0.49,lb,published
2011-04,flour_ap,APU0300701111,0.493,lb,published
2011-05,flour_ap,APU0300701111,0.5,lb,published
2011-06,flour_ap,APU0300701111,0.493,lb,published
2011-07,flour_ap,APU0300701111,0.491,lb,published
