month,geo_id,name,geo_type,status,basket_cost,avg_weekly_wage,wage_is_projected,hours_to_basket,method_version
2006-01,45,South Carolina,state,no_data,82.66,,,,regional-0.1.0
2006-02,45,South Carolina,state,no_data,81.1,,,,regional-0.1.0
2006-03,45,South Carolina,state,no_data,78.03,,,,regional-0.1.0
2006-04,45,South Carolina,state,no_data,77.1,,,,regional-0.1.0
2006-05,45,South Carolina,state,no_data,77.61,,,,regional-0.1.0
2006-06,45,South Carolina,state,no_data,77.4,,,,regional-0.1.0
2006-07,45,South Carolina,state,no_data,77.92,,,,regional-0.1.0
2006-08,45,South Carolina,state,no_data,79.5,,,,regional-0.1.0
2006-09,45,South Carolina,state,no_data,81.29,,,,regional-0.1.0
2006-10,45,South Carolina,state,no_data,84.78,,,,regional-0.1.0
2006-11,45,South Carolina,state,no_data,80.8,,,,regional-0.1.0
2006-12,45,South Carolina,state,no_data,82.17,,,,regional-0.1.0
2007-01,45,South Carolina,state,no_data,81.04,,,,regional-0.1.0
2007-02,45,South Carolina,state,no_data,83.29,,,,regional-0.1.0
2007-03,45,South Carolina,state,no_data,81.68,,,,regional-0.1.0
2007-04,45,South Carolina,state,no_data,80.98,,,,regional-0.1.0
2007-05,45,South Carolina,state,no_data,82.11,,,,regional-0.1.0
2007-06,45,South Carolina,state,no_data,81.62,,,,regional-0.1.0
2007-07,45,South Carolina,state,no_data,83.82,,,,regional-0.1.0
2007-08,45,South Carolina,state,no_data,85.37,,,,regional-0.1.0
2007-09,45,South Carolina,state,no_data,86.58,,,,regional-0.1.0
2007-10,45,South Carolina,state,no_data,87.66,,,,regional-0.1.0
2007-11,45,South Carolina,state,no_data,89.86,,,,regional-0.1.0
2007-12,45,South Carolina,state,no_data,92.16,,,,regional-0.1.0
2008-01,45,South Carolina,state,no_data,92.79,,,,regional-0.1.0
2008-02,45,South Carolina,state,no_data,91.16,,,,regional-0.1.0
2008-03,45,South Carolina,state,no_data,89.91,,,,regional-0.1.0
2008-04,45,South Carolina,state,no_data,89.41,,,,regional-0.1.0
2008-05,45,South Carolina,state,no_data,90.31,,,,regional-0.1.0
2008-06,45,South Carolina,state,no_data,92.43,,,,regional-0.1.0
2008-07,45,South Carolina,state,no_data,96.0,,,,regional-0.1.0
2008-08,45,South Carolina,state,no_data,97.64,,,,regional-0.1.0
2008-09,45,South Carolina,state,no_data,97.2,,,,regional-0.1.0
2008-10,45,South Carolina,state,no_data,95.71,,,,regional-0.1.0
2008-11,45,South Carolina,state,no_data,96.11,,,,regional-0.1.0
2008-12,45,South Carolina,state,no_data,95.05,,,,regional-0.1.0
2009-01,45,South Carolina,state,no_data,93.05,,,,regional-0.1.0
2009-02,45,South Carolina,state,no_data,91.34,,,,regional-0.1.0
2009-03,45,South Carolina,state,no_data,89.32,,,,regional-0.1.0
2009-04,45,South Carolina,state,no_data,87.81,,,,regional-0.1.0
2009-05,45,South Carolina,state,no_data,88.45,,,,regional-0.1.0
2009-06,45,South Carolina,state,no_data,89.74,,,,regional-0.1.0
2009-07,45,South Carolina,state,no_data,89.69,,,,regional-0.1.0
2009-08,45,South Carolina,state,no_data,89.53,,,,regional-0.1.0
2009-09,45,South Carolina,state,no_data,87.91,,,,regional-0.1.0
2009-10,45,South Carolina,state,no_data,89.09,,,,regional-0.1.0
2009-11,45,South Carolina,state,no_data,89.4,,,,regional-0.1.0
2009-12,45,South Carolina,state,no_data,91.91,,,,regional-0.1.0
2010-01,45,South Carolina,state,no_data,91.92,,,,regional-0.1.0
2010-02,45,South Carolina,state,no_data,90.97,,,,regional-0.1.0
2010-03,45,South Carolina,state,no_data,91.85,,,,regional-0.1.0
2010-04,45,South Carolina,state,no_data,91.65,,,,regional-0.1.0
2010-05,45,South Carolina,state,no_data,90.63,,,,regional-0.1.0
2010-06,45,South Carolina,state,no_data,88.95,,,,regional-0.1.0
2010-07,45,South Carolina,state,no_data,87.65,,,,regional-0.1.0
2010-08,45,South Carolina,state,no_data,89.76,,,,regional-0.1.0
2010-09,45,South Carolina,state,no_data,90.84,,,,regional-0.1.0
2010-10,45,South Carolina,state,no_data,92.26,,,,regional-0.1.0
2010-11,45,South Carolina,state,no_data,93.03,,,,regional-0.1.0
2010-12,45,South Carolina,state,no_data,93.59,,,,regional-0.1.0
2011-01,45,South Carolina,state,no_data,92.6,,,,regional-0.1.0
2011-02,45,South Carolina,state,no_data,93.19,,,,regional-0.1.0
2011-03,45,South Carolina,state,no_data,95.04,,,,regional-0.1.0
2011-04,45,South Carolina,state,no_data,97.32,,,,regional-0.1.0
2011-05,45,South Carolina,state,no_data,95.84,,,,regional-0.1.0
2011-06,45,South Carolina,state,no_data,92.31,,,,regional-0.1.0
2011-07,45,South Carolina,state,no_data,93.57,,,,regional-0.1.0
2011-08,45,South Carolina,state,no_data,95.35,,,,regional-0.1.0
2011-09,45,South Carolina,state,no_data,94.98,,,,regional-0.1.0
2011-10,45,South Carolina,state,no_data,94.95,,,,regional-0.1.0
2011-11,45,South Carolina,state,no_data,94.39,,,,regional-0.1.0
2011-12,45,South Carolina,state,no_data,93.0,,,,regional-0.1.0
2012-01,45,South Carolina,state,no_data,93.06,,,,regional-0.1.0
2012-02,45,South Carolina,state,no_data,91.3,,,,regional-0.1.0
2012-03,45,South Carolina,state,no_data,91.16,,,,regional-0.1.0
2012-04,45,South Carolina,state,no_data,90.71,,,,regional-0.1.0
2012-05,45,South Carolina,state,no_data,89.37,,,,regional-0.1.0
2012-06,45,South Carolina,state,no_data,90.91,,,,regional-0.1.0
2012-07,45,South Carolina,state,no_data,91.87,,,,regional-0.1.0
2012-08,45,South Carolina,state,no_data,93.28,,,,regional-0.1.0
2012-09,45,South Carolina,state,no_data,91.8,,,,regional-0.1.0
2012-10,45,South Carolina,state,no_data,95.12,,,,regional-0.1.0
2012-11,45,South Carolina,state,no_data,96.37,,,,regional-0.1.0
2012-12,45,South Carolina,state,no_data,95.56,,,,regional-0.1.0
2013-01,45,South Carolina,state,no_data,94.4,,,,regional-0.1.0
2013-02,45,South Carolina,state,no_data,93.13,,,,regional-0.1.0
2013-03,45,South Carolina,state,no_data,92.31,,,,regional-0.1.0
2013-04,45,South Carolina,state,no_data,92.31,,,,regional-0.1.0
2013-05,45,South Carolina,state,no_data,92.05,,,,regional-0.1.0
2013-06,45,South Carolina,state,no_data,92.85,,,,regional-0.1.0
2013-07,45,South Carolina,state,no_data,93.93,,,,regional-0.1.0
2013-08,45,South Carolina,state,no_data,95.02,,,,regional-0.1.0
2013-09,45,South Carolina,state,no_data,97.06,,,,regional-0.1.0
2013-10,45,South Carolina,state,no_data,95.06,,,,regional-0.1.0
2013-11,45,South Carolina,state,no_data,97.89,,,,regional-0.1.0
2013-12,45,South Carolina,state,no_data,97.82,,,,regional-0.1.0
2014-01,45,South Carolina,state,published,98.02,787.0,False,4.98,regional-0.1.0
2014-02,45,South Carolina,state,published,97.04,786.77,False,4.93,regional-0.1.0
2014-03,45,South Carolina,state,published,97.04,780.31,False,4.97,regional-0.1.0
2014-04,45,South Carolina,state,published,97.34,773.15,False,5.04,regional-0.1.0
2014-05,45,South Carolina,state,published,97.7,766.23,False,5.1,regional-0.1.0
2014-06,45,South Carolina,state,published,97.4,766.66,False,5.08,regional-0.1.0
2014-07,45,South Carolina,state,published,98.18,767.32,False,5.12,regional-0.1.0
2014-08,45,South Carolina,state,published,98.01,768.0,False,5.1,regional-0.1.0
2014-09,45,South Carolina,state,published,99.82,784.51,False,5.09,regional-0.1.0
2014-10,45,South Carolina,state,published,99.38,800.49,False,4.97,regional-0.1.0
2014-11,45,South Carolina,state,published,100.35,817.0,False,4.91,regional-0.1.0
2014-12,45,South Carolina,state,published,101.87,811.4,False,5.02,regional-0.1.0
2015-01,45,South Carolina,state,published,99.74,805.6,False,4.95,regional-0.1.0
2015-02,45,South Carolina,state,published,97.3,799.8,False,4.87,regional-0.1.0
2015-03,45,South Carolina,state,published,96.62,794.26,False,4.87,regional-0.1.0
2015-04,45,South Carolina,state,published,95.46,788.13,False,4.84,regional-0.1.0
2015-05,45,South Carolina,state,published,95.95,782.2,False,4.91,regional-0.1.0
2015-06,45,South Carolina,state,published,97.01,783.98,False,4.95,regional-0.1.0
2015-07,45,South Carolina,state,published,97.42,785.96,False,4.96,regional-0.1.0
2015-08,45,South Carolina,state,published,98.5,788.0,False,5.0,regional-0.1.0
2015-09,45,South Carolina,state,published,99.88,812.26,False,4.92,regional-0.1.0
2015-10,45,South Carolina,state,published,100.74,835.74,False,4.82,regional-0.1.0
2015-11,45,South Carolina,state,published,100.28,860.0,False,4.66,regional-0.1.0
2015-12,45,South Carolina,state,published,100.79,842.07,False,4.79,regional-0.1.0
2016-01,45,South Carolina,state,published,99.09,823.53,False,4.81,regional-0.1.0
2016-02,45,South Carolina,state,published,99.22,805.0,False,4.93,regional-0.1.0
2016-03,45,South Carolina,state,published,96.32,805.0,False,4.79,regional-0.1.0
2016-04,45,South Carolina,state,published,95.27,805.0,False,4.73,regional-0.1.0
2016-05,45,South Carolina,state,published,94.84,805.0,False,4.71,regional-0.1.0
2016-06,45,South Carolina,state,published,93.08,813.9,False,4.57,regional-0.1.0
2016-07,45,South Carolina,state,published,92.53,822.8,False,4.5,regional-0.1.0
2016-08,45,South Carolina,state,published,94.04,832.0,False,4.52,regional-0.1.0
2016-09,45,South Carolina,state,published,95.31,839.75,False,4.54,regional-0.1.0
2016-10,45,South Carolina,state,published,96.09,847.25,False,4.54,regional-0.1.0
2016-11,45,South Carolina,state,published,98.04,855.0,False,4.59,regional-0.1.0
2016-12,45,South Carolina,state,published,98.57,857.31,False,4.6,regional-0.1.0
2017-01,45,South Carolina,state,published,95.87,859.69,False,4.46,regional-0.1.0
2017-02,45,South Carolina,state,published,94.28,861.68,False,4.38,regional-0.1.0
2017-03,45,South Carolina,state,published,94.29,852.76,False,4.42,regional-0.1.0
2017-04,45,South Carolina,state,published,94.47,842.88,False,4.48,regional-0.1.0
2017-05,45,South Carolina,state,published,93.99,833.32,False,4.51,regional-0.1.0
2017-06,45,South Carolina,state,published,94.35,831.02,False,4.54,regional-0.1.0
2017-07,45,South Carolina,state,published,95.12,829.04,False,4.59,regional-0.1.0
2017-08,45,South Carolina,state,published,95.33,827.0,False,4.61,regional-0.1.0
2017-09,45,South Carolina,state,published,95.39,843.51,False,4.52,regional-0.1.0
2017-10,45,South Carolina,state,published,96.62,859.49,False,4.5,regional-0.1.0
2017-11,45,South Carolina,state,published,98.01,876.0,False,4.48,regional-0.1.0
2017-12,45,South Carolina,state,published,100.11,875.67,False,4.57,regional-0.1.0
2018-01,45,South Carolina,state,published,98.04,875.33,False,4.48,regional-0.1.0
2018-02,45,South Carolina,state,published,94.19,874.57,False,4.31,regional-0.1.0
2018-03,45,South Carolina,state,published,92.44,862.57,False,4.29,regional-0.1.0
2018-04,45,South Carolina,state,published,93.82,849.29,False,4.42,regional-0.1.0
2018-05,45,South Carolina,state,published,91.52,836.43,False,4.38,regional-0.1.0
2018-06,45,South Carolina,state,published,91.29,835.67,False,4.37,regional-0.1.0
2018-07,45,South Carolina,state,published,92.0,835.34,False,4.41,regional-0.1.0
2018-08,45,South Carolina,state,published,92.62,835.0,False,4.44,regional-0.1.0
2018-09,45,South Carolina,state,published,92.84,855.22,False,4.34,regional-0.1.0
2018-10,45,South Carolina,state,published,93.28,874.78,False,4.27,regional-0.1.0
2018-11,45,South Carolina,state,published,94.61,895.0,False,4.23,regional-0.1.0
2018-12,45,South Carolina,state,published,96.64,897.31,False,4.31,regional-0.1.0
2019-01,45,South Carolina,state,published,98.27,899.69,False,4.37,regional-0.1.0
2019-02,45,South Carolina,state,published,95.64,901.63,False,4.24,regional-0.1.0
2019-03,45,South Carolina,state,published,94.76,891.16,False,4.25,regional-0.1.0
2019-04,45,South Carolina,state,published,94.89,879.58,False,4.32,regional-0.1.0
2019-05,45,South Carolina,state,published,92.01,868.37,False,4.24,regional-0.1.0
2019-06,45,South Carolina,state,published,92.73,867.34,False,4.28,regional-0.1.0
2019-07,45,South Carolina,state,published,93.53,866.68,False,4.32,regional-0.1.0
2019-08,45,South Carolina,state,published,93.57,866.0,False,4.32,regional-0.1.0
2019-09,45,South Carolina,state,published,94.35,888.24,False,4.25,regional-0.1.0
2019-10,45,South Carolina,state,published,94.51,909.76,False,4.16,regional-0.1.0
2019-11,45,South Carolina,state,published,94.52,932.0,False,4.06,regional-0.1.0
2019-12,45,South Carolina,state,published,96.36,928.74,False,4.15,regional-0.1.0
2020-01,45,South Carolina,state,published,97.64,925.37,False,4.22,regional-0.1.0
2020-02,45,South Carolina,state,published,96.51,922.0,False,4.19,regional-0.1.0
2020-03,45,South Carolina,state,published,95.92,924.23,False,4.15,regional-0.1.0
2020-04,45,South Carolina,state,suppressed,,926.62,False,,regional-0.1.0
2020-05,45,South Carolina,state,suppressed,,928.92,False,,regional-0.1.0
2020-06,45,South Carolina,state,published,98.2,927.35,False,4.24,regional-0.1.0
2020-07,45,South Carolina,state,published,96.86,925.7,False,4.19,regional-0.1.0
